User: John Doe, Media Subscribed: Inception
User: Sophia, Media Subscribed: Inception
User: Bob, Media Subscribed: Game of Thrones
User: John, Media Subscribed: Jurassic Park
User: Maria, Media Subscribed: Inception
User: Maria, Media Subscribed: The Godfather
User: James, Media Subscribed: Inception
User: Lino Varela, Media Subscribed: Inception
User: Lino Varela, Media Subscribed: The Matrix
User: James, Media Subscribed: Game of Thrones
User: James, Media Subscribed: The Matrix
User: Maria, Media Subscribed: Breaking Bad
User: Alice, Media Subscribed: The Dark Knight
